name,lat,lng,category
"Horseshoe Marsh",26.366143455965172,-81.62035283141986,Lake
"Bird Rookery Swamp",26.318083593837034,-81.60526729738856,Lake
"Poggie Strand",26.37526139238683,-81.54704999411113,Lake
"Little Cypress Swamp",26.49561468981068,-80.96360067099594,Lake
"Dark Strand",26.222411582999616,-81.06358989185959,Lake
"The Everglades",26.245040910568765,-80.52241228707818,Lake
"Graham Marsh",26.55225413040679,-81.20358425602939,Lake
"The Everglades",26.335156414384684,-80.39744689751396,Lake
"Lake Hicpochee",26.795790288485286,-81.13770777245568,Lake
"Little Lard Can Slough",26.28490944742433,-81.05397989096386,Lake
"Rice Straw Strand",26.33117491398618,-81.386619657274,Lake
"Lard Can Slough",26.346892062052504,-81.09946312167726,Lake
"The Everglades",26.167233043644863,-80.78516879657148,Lake
"Lake Hicpochee",26.793360882833042,-81.12635903539855,Lake
"The Everglades",26.3980480164891,-80.84432956046454,Lake
"The Everglades",26.229509387387868,-80.77890368987642,Lake
"Cow Slough",26.5209144305484,-81.45721464249534,Lake
"The Everglades",26.35801747025217,-80.70319018009883,Lake
"Cowbone Marsh",26.957635420135624,-81.21063321756763,Lake
"Summerland Swamp",26.337301019742913,-81.3557631401856,Lake
"Kissimmee Billy Strand",26.27274290312278,-81.09468333907985,Lake
"Corkscrew Swamp",26.341775988442052,-81.47454565390593,Lake
"Goddens Strand",26.247788754466292,-80.91821853930679,Lake
"Shaggy Cypress Swamp",26.31309249818425,-81.4866081918616,Lake
"Hooper Slough",26.595073353619867,-81.32103529943464,Lake
"The Everglades",26.17020571313113,-80.80999076218613,Lake
"The Everglades",26.163847137379207,-80.86728801874486,Lake
"Gator Slough",26.527067289666935,-81.48934684269608,Lake
"Moonshine Bay",26.901583107510703,-80.99726003516955,Lake
"The Everglades",26.12859338835812,-80.55799866012967,Lake
"Cow Bell Strand",26.243209824561035,-81.00160719673332,Lake
"Lake Okeechobee",26.925609462793993,-80.87435084454799,Lake
"The Everglades",26.04703130281376,-80.48861654667228,Lake
"Linden Pens Marsh",26.8583282173901,-81.31090796051087,Lake
"Gum Swamp",26.335572282646133,-81.18641118252518,Lake
"Fisheating Bay",26.974450131316814,-81.08497031325153,Lake
"Sixmile Marsh",27.000416538041055,-81.15887230817567,Lake
"Coot Bay",26.758187182764154,-80.89777601830026,Lake
"Grassy Marsh",26.704377746624715,-81.2062052599566,Lake
"Bamboo Strand",26.126223963499193,-81.03700367764387,Lake
"Miles City Prairie",26.149949162101635,-81.33064794526574,Lake
"Miles City Prairie",26.127196655721523,-81.34841631568241,Lake
"Baucom Cypress Strand",26.37675847247068,-81.44826251355586,Lake
"Camp Keais Strand",26.277785068163094,-81.47274814004405,Lake
"Camp Keais Strand",26.310509539310722,-81.46521942700859,Lake
"Wilson Cypress",26.198330134621035,-81.01780637078224,Lake
"Lucky Lake",26.160756801017705,-81.48779518945425,Lake
"Devils Garden Slough",26.52781492775958,-81.10616537220635,Lake
"Tony Strand",26.366360070534355,-81.1527556863357,Lake
"Boggy Slough",26.402247866016662,-81.14475411227274,Lake
"Hog Cypress",26.638897815516867,-81.02469760984458,Lake
"Fisheating Bay",26.958822605926798,-81.09363250486417,Lake
"Fisheating Bay",26.970764057871847,-81.0938314263043,Lake
"Moonshine Bay",26.930727470832203,-81.06906227877883,Lake
"Lake Ida",26.482306911826974,-80.08132487462433,Lake
"Lake Worth Creek",26.90812582861505,-80.08689102874987,Lake
"Lake Wyman",26.36968045494161,-80.07324020843579,Lake
"The Everglades",26.05991994827247,-80.45336782979203,Lake
"Lake Osborne",26.59295557249759,-80.07999785214999,Lake
"The Everglades",26.173164250181753,-80.4085188533948,Lake
"South Lake",26.00811664731216,-80.12409430830684,Lake
"Lake Worth",26.67854254502276,-80.04629203251011,Lake
"The Everglades",26.06508555809296,-80.4545094379965,Lake
"Lake Clarke",26.644132077159366,-80.07373527577046,Lake
"West Lake",26.034957009672073,-80.12337065082438,Lake
"The Everglades",26.515646178086865,-80.35379113984443,Lake
"North Lake",26.016147153202564,-80.12522876575227,Lake
"Sailboat Lake",26.27757341467124,-80.14434648766503,Lake
"Lake Rogers",26.38311918142857,-80.07288906962043,Lake
"Lake Mangonia",26.737746765575547,-80.07681283409927,Lake
"Lake Boca Raton",26.344609073677596,-80.07419431951429,Lake
"The Everglades",26.12149431241948,-80.44143530359295,Lake
"Lake Little Worth",26.849554804561812,-80.05556721548068,Lake
"Clear Lake",26.713923357681,-80.07009155437548,Lake
"The Everglades",26.099069214974822,-80.45457932447208,Lake
"Fresh Water Lake",27.95969375679183,-97.17982985011702,Lake
"Sunset Lake",27.861601515166956,-97.3417002922446,Lake
"Laguna Larga",27.52319175583492,-97.39792915117229,Lake
"Barney M Davis Reservoir",27.622631373884698,-97.33756469896538,Lake
"Tailing Ponds Number 2",27.99248576553063,-97.20654935183966,Lake
"Reynolds Metal Company Reservoir",27.89599940980953,-97.27345180553242,Lake
"Parra Lake",27.42923476109206,-97.45124419128035,Lake
"Heron Lagoon",27.236253276222815,-82.52549585059981,Lake
"Taylor Lake",27.90595319371251,-82.80392322055569,Lake
"Lake Seminole",27.859828783019346,-82.77922834123032,Lake
"Lake Maggiore",27.736656345736375,-82.65296920864434,Lake
"Warner West Bayou",27.50641863046319,-82.62527895170172,Lake
"Walsingham Reservoir",27.87190661542878,-82.81244003476253,Lake
"Alligator Lake",27.98120680307075,-82.69875921325522,Lake
"Lake Weeks",27.989679911510105,-82.26839371304743,Lake
"Lake Dexter",27.990614375083194,-81.68042128299885,Lake
"Lake Hooker",27.98015086263612,-82.26353426178498,Lake
